Evenement_ID,Naam,Datum,Locatie,Type
56b81a4b-e365-48cb-8c70-e3c50e3debd5,Ullam nulla.,2023-12-06,Saint-Georges-sur-Meuse,Community Event
4f4c6ab8-0c7d-4c15-bef1-106f4755ea39,Rerum recusandae omnis.,2023-06-10,Wihogne,Inzamelingsactie
910bf485-701b-498b-a574-93197f45bbba,Omnis cumque voluptatibus.,2024-01-29,Seilles,Inzamelingsactie
25cca868-d666-4c07-b734-8baad13499db,Sapiente commodi in.,2024-09-04,Kerkhove,Voorlichting
a7c8ac19-1611-453e-a5a2-3e5288382609,Mollitia at qui.,2023-10-06,Enines,Training
3b4ffa97-bbb3-4fc6-8427-7e5af4191c88,Aspernatur eligendi.,2022-12-25,Boëlhe,Inzamelingsactie
89ae3758-0a36-44fb-a6b2-d3d930886280,Quas architecto quod consequatur.,2024-11-10,Soiron,Inzamelingsactie
f6b182ee-93b0-4dcd-bb65-71c14a80f853,Ad enim.,2023-01-21,Sars-la-Buissière,Training
6d9a8588-1c8b-4ff2-81a3-38d737505369,Cum laborum minus eligendi.,2024-09-28,Namur,Community Event
9d533305-9b97-4496-ab52-b2bc9d1943ec,Asperiores odio.,2023-12-26,Brecht,Training
ec45d3c8-5998-40f0-bcb7-32984ec672da,Ducimus facere voluptas.,2023-05-24,Itterbeek,Voorlichting
b1c436af-f8a2-4b98-8e46-85c5b29b3e99,Ducimus qui eos.,2023-03-10,Roselies,Inzamelingsactie
596702a3-5bad-48a5-809d-029213e2c8f9,Molestiae assumenda.,2024-03-07,Hellebecq,Inzamelingsactie
e11b21b2-8c46-4a54-bced-b7aedc6635da,Nesciunt qui.,2023-01-03,Izegem,Inzamelingsactie
c87e48b5-1e2a-44d8-a8d1-b03166d64b42,Iusto ipsum laboriosam.,2023-05-25,Heffen,Training
2985dc09-e2b4-4e85-b60c-57f71906abc4,Placeat distinctio pariatur.,2023-04-15,Ieper,Inzamelingsactie
37f01de8-d0b6-43e0-9117-9d40dd9d0793,Nobis vel modi.,2024-04-04,Chanly,Inzamelingsactie
6df6a455-8b14-47fb-9d37-f4817de0aac0,Consectetur sequi asperiores.,2024-06-24,Rulles,Inzamelingsactie
0b42a639-6125-43c8-abdc-86192239eab6,Nisi tempore.,2023-12-15,Huissignies,Community Event
e1a188e6-9c39-44f6-a9b8-fdd64376deed,Eos illum.,2023-03-05,Ardooie,Inzamelingsactie
502b8c2c-e51d-47eb-bc2c-41899910cf80,Deleniti aspernatur.,2024-01-20,Somme-Leuze,Inzamelingsactie
a5efc2a8-9828-4617-b82f-b4a3756fd4c5,Quasi architecto voluptate.,2023-02-12,Chastre,Training
b65bb6a4-8d95-4518-b7d3-e11a73b31873,Dicta accusantium quo libero.,2023-11-24,Melles,Community Event
808cfde8-d308-44c7-9379-06e15a51d145,Sed.,2024-09-14,Limbourg,Voorlichting
a0278e45-60fc-4cad-b548-7f8012597902,Sapiente accusamus reprehenderit.,2024-01-25,Sommière,Training
ab9ad894-613a-47df-9abe-587423b6f2de,Quibusdam dolore quasi.,2023-08-24,Tongre-Notre-Dame,Inzamelingsactie
1d91fa1f-b820-4eaf-b4a2-c8d719f4c7d7,Ipsam quia architecto error.,2024-01-24,Landelies,Community Event
c8d95ec5-55a1-4706-a1c8-3f8d535612a2,Ex soluta.,2023-10-14,Strée-lez-Huy,Voorlichting
4a9b6d56-d83e-4e28-9cf0-93cf7944b43c,Iste expedita.,2024-01-31,Jemappes,Training
2baba594-34e0-413d-b328-428845544fdd,Magni culpa corrupti.,2023-05-31,Houdremont,Inzamelingsactie
